region,datetime,units,load_data,scenario,measures
CAMX,2023-01-01 00:00:00,kWh,66.71107323458878,baseline,hvac_dr_ee
CAMX,2023-01-01 01:00:00,kWh,66.12106425268533,baseline,hvac_dr_ee
CAMX,2023-01-01 02:00:00,kWh,64.26734879858277,baseline,hvac_dr_ee
CAMX,2023-01-01 03:00:00,kWh,65.95150340915649,baseline,hvac_dr_ee
CAMX,2023-01-01 04:00:00,kWh,66.43950806257884,baseline,hvac_dr_ee
CAMX,2023-01-01 05:00:00,kWh,68.18061503816293,baseline,hvac_dr_ee
CAMX,2023-01-01 06:00:00,kWh,75.36154731027722,baseline,hvac_dr_ee
CAMX,2023-01-01 07:00:00,kWh,68.95416455527867,baseline,hvac_dr_ee
CAMX,2023-01-01 08:00:00,kWh,72.92900085733616,baseline,hvac_dr_ee
CAMX,2023-01-01 09:00:00,kWh,73.29115977707104,baseline,hvac_dr_ee
CAMX,2023-01-01 10:00:00,kWh,65.85763270457129,baseline,hvac_dr_ee
CAMX,2023-01-01 11:00:00,kWh,72.59588214374104,baseline,hvac_dr_ee
CAMX,2023-01-01 12:00:00,kWh,64.78928409249407,baseline,hvac_dr_ee
CAMX,2023-01-01 13:00:00,kWh,75.76317594296724,baseline,hvac_dr_ee
CAMX,2023-01-01 14:00:00,kWh,65.21012687945417,baseline,hvac_dr_ee
CAMX,2023-01-01 15:00:00,kWh,65.8047594939413,baseline,hvac_dr_ee
CAMX,2023-01-01 16:00:00,kWh,64.53887652747724,baseline,hvac_dr_ee
CAMX,2023-01-01 17:00:00,kWh,65.94724523064971,baseline,hvac_dr_ee
CAMX,2023-01-01 18:00:00,kWh,64.51690748388847,baseline,hvac_dr_ee
CAMX,2023-01-01 19:00:00,kWh,64.51036520113223,baseline,hvac_dr_ee
CAMX,2023-01-01 20:00:00,kWh,67.5865078983334,baseline,hvac_dr_ee
CAMX,2023-01-01 21:00:00,kWh,75.99993602918654,baseline,hvac_dr_ee
CAMX,2023-01-01 22:00:00,kWh,64.27700707742962,baseline,hvac_dr_ee
CAMX,2023-01-01 23:00:00,kWh,63.044570756291215,baseline,hvac_dr_ee
CAMX,2023-01-02 00:00:00,kWh,69.63895325527282,baseline,hvac_dr_ee
CAMX,2023-01-02 01:00:00,kWh,68.78440249729957,baseline,hvac_dr_ee
CAMX,2023-01-02 02:00:00,kWh,66.08347738643492,baseline,hvac_dr_ee
CAMX,2023-01-02 03:00:00,kWh,67.48015805266589,baseline,hvac_dr_ee
CAMX,2023-01-02 04:00:00,kWh,69.28385723181177,baseline,hvac_dr_ee
CAMX,2023-01-02 05:00:00,kWh,153.5550462579495,baseline,hvac_dr_ee
CAMX,2023-01-02 06:00:00,kWh,163.84630507283157,baseline,hvac_dr_ee
CAMX,2023-01-02 07:00:00,kWh,175.66926366743775,baseline,hvac_dr_ee
CAMX,2023-01-02 08:00:00,kWh,182.07065672537,baseline,hvac_dr_ee
CAMX,2023-01-02 09:00:00,kWh,165.21289184786158,baseline,hvac_dr_ee
CAMX,2023-01-02 10:00:00,kWh,162.38740168428507,baseline,hvac_dr_ee
CAMX,2023-01-02 11:00:00,kWh,165.0406877888542,baseline,hvac_dr_ee
CAMX,2023-01-02 12:00:00,kWh,170.05105196699483,baseline,hvac_dr_ee
CAMX,2023-01-02 13:00:00,kWh,166.28414490850935,baseline,hvac_dr_ee
CAMX,2023-01-02 14:00:00,kWh,165.52935392078496,baseline,hvac_dr_ee
CAMX,2023-01-02 15:00:00,kWh,162.5440618725918,baseline,hvac_dr_ee
CAMX,2023-01-02 16:00:00,kWh,160.98133671054083,baseline,hvac_dr_ee
CAMX,2023-01-02 17:00:00,kWh,154.87351730054476,baseline,hvac_dr_ee
CAMX,2023-01-02 18:00:00,kWh,131.84138630084496,baseline,hvac_dr_ee
CAMX,2023-01-02 19:00:00,kWh,129.3790140471625,baseline,hvac_dr_ee
CAMX,2023-01-02 20:00:00,kWh,127.41587944487046,baseline,hvac_dr_ee
CAMX,2023-01-02 21:00:00,kWh,127.23208061252217,baseline,hvac_dr_ee
CAMX,2023-01-02 22:00:00,kWh,83.18408853130346,baseline,hvac_dr_ee
CAMX,2023-01-02 23:00:00,kWh,85.4103212189455,baseline,hvac_dr_ee
CAMX,2023-01-03 00:00:00,kWh,73.27337186649464,baseline,hvac_dr_ee
CAMX,2023-01-03 01:00:00,kWh,74.07592977965257,baseline,hvac_dr_ee
CAMX,2023-01-03 02:00:00,kWh,78.18126012175699,baseline,hvac_dr_ee
CAMX,2023-01-03 03:00:00,kWh,70.50996185172235,baseline,hvac_dr_ee
CAMX,2023-01-03 04:00:00,kWh,77.24079256769946,baseline,hvac_dr_ee
CAMX,2023-01-03 05:00:00,kWh,136.48094083886048,baseline,hvac_dr_ee
CAMX,2023-01-03 06:00:00,kWh,148.8337805775713,baseline,hvac_dr_ee
CAMX,2023-01-03 07:00:00,kWh,159.72146074512546,baseline,hvac_dr_ee
CAMX,2023-01-03 08:00:00,kWh,166.7910592579085,baseline,hvac_dr_ee
CAMX,2023-01-03 09:00:00,kWh,157.40086005138315,baseline,hvac_dr_ee
CAMX,2023-01-03 10:00:00,kWh,157.0685355123847,baseline,hvac_dr_ee
CAMX,2023-01-03 11:00:00,kWh,163.26903904838787,baseline,hvac_dr_ee
CAMX,2023-01-03 12:00:00,kWh,166.9516161141733,baseline,hvac_dr_ee
CAMX,2023-01-03 13:00:00,kWh,166.69403828297328,baseline,hvac_dr_ee
CAMX,2023-01-03 14:00:00,kWh,161.03384488369187,baseline,hvac_dr_ee
CAMX,2023-01-03 15:00:00,kWh,157.42233474373066,baseline,hvac_dr_ee
CAMX,2023-01-03 16:00:00,kWh,159.63543045483678,baseline,hvac_dr_ee
CAMX,2023-01-03 17:00:00,kWh,147.85732105168094,baseline,hvac_dr_ee
CAMX,2023-01-03 18:00:00,kWh,124.75588747800222,baseline,hvac_dr_ee
CAMX,2023-01-03 19:00:00,kWh,122.63096692881375,baseline,hvac_dr_ee
CAMX,2023-01-03 20:00:00,kWh,119.75928391293547,baseline,hvac_dr_ee
CAMX,2023-01-03 21:00:00,kWh,119.50117053481924,baseline,hvac_dr_ee
CAMX,2023-01-03 22:00:00,kWh,85.26761292840106,baseline,hvac_dr_ee
CAMX,2023-01-03 23:00:00,kWh,86.67577203869416,baseline,hvac_dr_ee
CAMX,2023-01-04 00:00:00,kWh,79.67962120381948,baseline,hvac_dr_ee
CAMX,2023-01-04 01:00:00,kWh,81.13215027400113,baseline,hvac_dr_ee
CAMX,2023-01-04 02:00:00,kWh,81.76448021135955,baseline,hvac_dr_ee
CAMX,2023-01-04 03:00:00,kWh,74.88794215874915,baseline,hvac_dr_ee
CAMX,2023-01-04 04:00:00,kWh,77.7088119990128,baseline,hvac_dr_ee
CAMX,2023-01-04 05:00:00,kWh,127.74007080161087,baseline,hvac_dr_ee
CAMX,2023-01-04 06:00:00,kWh,140.06189489601798,baseline,hvac_dr_ee
CAMX,2023-01-04 07:00:00,kWh,152.4354442035913,baseline,hvac_dr_ee
CAMX,2023-01-04 08:00:00,kWh,163.20087935291494,baseline,hvac_dr_ee
CAMX,2023-01-04 09:00:00,kWh,157.47996541820805,baseline,hvac_dr_ee
CAMX,2023-01-04 10:00:00,kWh,158.78775596679142,baseline,hvac_dr_ee
CAMX,2023-01-04 11:00:00,kWh,163.99551744851306,baseline,hvac_dr_ee
CAMX,2023-01-04 12:00:00,kWh,168.55865969163125,baseline,hvac_dr_ee
CAMX,2023-01-04 13:00:00,kWh,167.51255285598077,baseline,hvac_dr_ee
CAMX,2023-01-04 14:00:00,kWh,161.52355448817718,baseline,hvac_dr_ee
CAMX,2023-01-04 15:00:00,kWh,159.60525345508074,baseline,hvac_dr_ee
CAMX,2023-01-04 16:00:00,kWh,160.1849152309411,baseline,hvac_dr_ee
CAMX,2023-01-04 17:00:00,kWh,147.74914078601114,baseline,hvac_dr_ee
CAMX,2023-01-04 18:00:00,kWh,124.03520537763592,baseline,hvac_dr_ee
CAMX,2023-01-04 19:00:00,kWh,121.11390592906116,baseline,hvac_dr_ee
CAMX,2023-01-04 20:00:00,kWh,118.51779697043375,baseline,hvac_dr_ee
CAMX,2023-01-04 21:00:00,kWh,118.63748467504331,baseline,hvac_dr_ee
CAMX,2023-01-04 22:00:00,kWh,86.37699241241111,baseline,hvac_dr_ee
CAMX,2023-01-04 23:00:00,kWh,89.34164892654306,baseline,hvac_dr_ee
CAMX,2023-01-05 00:00:00,kWh,79.24206058227075,baseline,hvac_dr_ee
CAMX,2023-01-05 01:00:00,kWh,86.23623765508825,baseline,hvac_dr_ee
CAMX,2023-01-05 02:00:00,kWh,86.09175881713138,baseline,hvac_dr_ee
CAMX,2023-01-05 03:00:00,kWh,79.4640553552284,baseline,hvac_dr_ee
CAMX,2023-01-05 04:00:00,kWh,82.91749612310744,baseline,hvac_dr_ee
CAMX,2023-01-05 05:00:00,kWh,126.4499312025535,baseline,hvac_dr_ee
CAMX,2023-01-05 06:00:00,kWh,139.62768740120228,baseline,hvac_dr_ee
CAMX,2023-01-05 07:00:00,kWh,152.47626065524145,baseline,hvac_dr_ee
CAMX,2023-01-05 08:00:00,kWh,160.35073607865314,baseline,hvac_dr_ee
CAMX,2023-01-05 09:00:00,kWh,153.98452192847455,baseline,hvac_dr_ee
CAMX,2023-01-05 10:00:00,kWh,156.88891736994984,baseline,hvac_dr_ee
CAMX,2023-01-05 11:00:00,kWh,165.52441298675126,baseline,hvac_dr_ee
CAMX,2023-01-05 12:00:00,kWh,170.21589822184245,baseline,hvac_dr_ee
CAMX,2023-01-05 13:00:00,kWh,173.76076397232112,baseline,hvac_dr_ee
CAMX,2023-01-05 14:00:00,kWh,169.6190637878155,baseline,hvac_dr_ee
CAMX,2023-01-05 15:00:00,kWh,167.3170481332799,baseline,hvac_dr_ee
CAMX,2023-01-05 16:00:00,kWh,165.7875622783106,baseline,hvac_dr_ee
CAMX,2023-01-05 17:00:00,kWh,144.88947567509948,baseline,hvac_dr_ee
CAMX,2023-01-05 18:00:00,kWh,120.30313730819194,baseline,hvac_dr_ee
CAMX,2023-01-05 19:00:00,kWh,118.79486199807151,baseline,hvac_dr_ee
CAMX,2023-01-05 20:00:00,kWh,115.77262187107259,baseline,hvac_dr_ee
CAMX,2023-01-05 21:00:00,kWh,114.84749704534053,baseline,hvac_dr_ee
CAMX,2023-01-05 22:00:00,kWh,88.46403393944077,baseline,hvac_dr_ee
CAMX,2023-01-05 23:00:00,kWh,89.40683535088415,baseline,hvac_dr_ee
CAMX,2023-01-06 00:00:00,kWh,80.44316819402518,baseline,hvac_dr_ee
CAMX,2023-01-06 01:00:00,kWh,86.58344527669371,baseline,hvac_dr_ee
CAMX,2023-01-06 02:00:00,kWh,86.75507969730651,baseline,hvac_dr_ee
CAMX,2023-01-06 03:00:00,kWh,79.69571813977112,baseline,hvac_dr_ee
CAMX,2023-01-06 04:00:00,kWh,86.49601201547397,baseline,hvac_dr_ee
CAMX,2023-01-06 05:00:00,kWh,125.83146605254777,baseline,hvac_dr_ee
CAMX,2023-01-06 06:00:00,kWh,138.41104069526185,baseline,hvac_dr_ee
CAMX,2023-01-06 07:00:00,kWh,151.35914154189052,baseline,hvac_dr_ee
CAMX,2023-01-06 08:00:00,kWh,160.0285008697882,baseline,hvac_dr_ee
CAMX,2023-01-06 09:00:00,kWh,153.8479950287522,baseline,hvac_dr_ee
CAMX,2023-01-06 10:00:00,kWh,160.10736641698279,baseline,hvac_dr_ee
CAMX,2023-01-06 11:00:00,kWh,169.11512121174303,baseline,hvac_dr_ee
CAMX,2023-01-06 12:00:00,kWh,171.96229245744556,baseline,hvac_dr_ee
CAMX,2023-01-06 13:00:00,kWh,174.80505277939875,baseline,hvac_dr_ee
CAMX,2023-01-06 14:00:00,kWh,168.5944919908137,baseline,hvac_dr_ee
CAMX,2023-01-06 15:00:00,kWh,163.40819878871963,baseline,hvac_dr_ee
CAMX,2023-01-06 16:00:00,kWh,162.41622678831166,baseline,hvac_dr_ee
CAMX,2023-01-06 17:00:00,kWh,144.48473047010154,baseline,hvac_dr_ee
CAMX,2023-01-06 18:00:00,kWh,120.42018305698423,baseline,hvac_dr_ee
CAMX,2023-01-06 19:00:00,kWh,117.15378689134836,baseline,hvac_dr_ee
CAMX,2023-01-06 20:00:00,kWh,114.60252830796678,baseline,hvac_dr_ee
CAMX,2023-01-06 21:00:00,kWh,114.50868039836381,baseline,hvac_dr_ee
CAMX,2023-01-06 22:00:00,kWh,88.78521918719969,baseline,hvac_dr_ee
CAMX,2023-01-06 23:00:00,kWh,90.06482951722484,baseline,hvac_dr_ee
CAMX,2023-01-07 00:00:00,kWh,76.94139583063118,baseline,hvac_dr_ee
CAMX,2023-01-07 01:00:00,kWh,83.85583319183456,baseline,hvac_dr_ee
CAMX,2023-01-07 02:00:00,kWh,83.5276578546306,baseline,hvac_dr_ee
CAMX,2023-01-07 03:00:00,kWh,76.73812453926695,baseline,hvac_dr_ee
CAMX,2023-01-07 04:00:00,kWh,83.52338600880819,baseline,hvac_dr_ee
CAMX,2023-01-07 05:00:00,kWh,119.41872650327915,baseline,hvac_dr_ee
CAMX,2023-01-07 06:00:00,kWh,129.54423134879838,baseline,hvac_dr_ee
CAMX,2023-01-07 07:00:00,kWh,120.67814285360564,baseline,hvac_dr_ee
CAMX,2023-01-07 08:00:00,kWh,120.35623090417758,baseline,hvac_dr_ee
CAMX,2023-01-07 09:00:00,kWh,120.71625413246989,baseline,hvac_dr_ee
CAMX,2023-01-07 10:00:00,kWh,121.62744643160673,baseline,hvac_dr_ee
CAMX,2023-01-07 11:00:00,kWh,125.57776798826399,baseline,hvac_dr_ee
CAMX,2023-01-07 12:00:00,kWh,116.06580167784546,baseline,hvac_dr_ee
CAMX,2023-01-07 13:00:00,kWh,112.04255608268123,baseline,hvac_dr_ee
CAMX,2023-01-07 14:00:00,kWh,110.95689002487067,baseline,hvac_dr_ee
CAMX,2023-01-07 15:00:00,kWh,109.72992387686702,baseline,hvac_dr_ee
CAMX,2023-01-07 16:00:00,kWh,109.38837114820511,baseline,hvac_dr_ee
CAMX,2023-01-07 17:00:00,kWh,96.03935054929399,baseline,hvac_dr_ee
CAMX,2023-01-07 18:00:00,kWh,79.26770459165493,baseline,hvac_dr_ee
CAMX,2023-01-07 19:00:00,kWh,83.26609631048116,baseline,hvac_dr_ee
CAMX,2023-01-07 20:00:00,kWh,75.75570719460356,baseline,hvac_dr_ee
CAMX,2023-01-07 21:00:00,kWh,83.22886791751439,baseline,hvac_dr_ee
CAMX,2023-01-07 22:00:00,kWh,82.86863707310341,baseline,hvac_dr_ee
CAMX,2023-01-07 23:00:00,kWh,76.738117810637,baseline,hvac_dr_ee
CAMX,2023-01-08 00:00:00,kWh,77.45081408768124,baseline,hvac_dr_ee
CAMX,2023-01-08 01:00:00,kWh,75.0410209860885,baseline,hvac_dr_ee
CAMX,2023-01-08 02:00:00,kWh,74.62883900649706,baseline,hvac_dr_ee
CAMX,2023-01-08 03:00:00,kWh,74.34738308571886,baseline,hvac_dr_ee
CAMX,2023-01-08 04:00:00,kWh,73.81387461318441,baseline,hvac_dr_ee
CAMX,2023-01-08 05:00:00,kWh,67.37192550067024,baseline,hvac_dr_ee
CAMX,2023-01-08 06:00:00,kWh,83.46948598294884,baseline,hvac_dr_ee
CAMX,2023-01-08 07:00:00,kWh,77.16722329625132,baseline,hvac_dr_ee
CAMX,2023-01-08 08:00:00,kWh,76.5953619997799,baseline,hvac_dr_ee
CAMX,2023-01-08 09:00:00,kWh,82.4177269509039,baseline,hvac_dr_ee
CAMX,2023-01-08 10:00:00,kWh,80.0724297901919,baseline,hvac_dr_ee
CAMX,2023-01-08 11:00:00,kWh,77.38688048744463,baseline,hvac_dr_ee
CAMX,2023-01-08 12:00:00,kWh,80.41456084979323,baseline,hvac_dr_ee
CAMX,2023-01-08 13:00:00,kWh,89.51272741536752,baseline,hvac_dr_ee
CAMX,2023-01-08 14:00:00,kWh,77.9983784677733,baseline,hvac_dr_ee
CAMX,2023-01-08 15:00:00,kWh,78.34101273990159,baseline,hvac_dr_ee
CAMX,2023-01-08 16:00:00,kWh,79.1856534272753,baseline,hvac_dr_ee
CAMX,2023-01-08 17:00:00,kWh,67.16563007855648,baseline,hvac_dr_ee
CAMX,2023-01-08 18:00:00,kWh,72.13584352294467,baseline,hvac_dr_ee
CAMX,2023-01-08 19:00:00,kWh,71.71887563926013,baseline,hvac_dr_ee
CAMX,2023-01-08 20:00:00,kWh,66.4399044346644,baseline,hvac_dr_ee
CAMX,2023-01-08 21:00:00,kWh,76.6541961428289,baseline,hvac_dr_ee
CAMX,2023-01-08 22:00:00,kWh,75.4718230306642,baseline,hvac_dr_ee
CAMX,2023-01-08 23:00:00,kWh,64.93925734714207,baseline,hvac_dr_ee
CAMX,2023-01-09 00:00:00,kWh,70.96916226594897,baseline,hvac_dr_ee
CAMX,2023-01-09 01:00:00,kWh,68.65294719045907,baseline,hvac_dr_ee
CAMX,2023-01-09 02:00:00,kWh,70.20173010104543,baseline,hvac_dr_ee
CAMX,2023-01-09 03:00:00,kWh,68.01746024830236,baseline,hvac_dr_ee
CAMX,2023-01-09 04:00:00,kWh,87.90648291098888,baseline,hvac_dr_ee
CAMX,2023-01-09 05:00:00,kWh,151.2141871630343,baseline,hvac_dr_ee
CAMX,2023-01-09 06:00:00,kWh,161.19319203327922,baseline,hvac_dr_ee
CAMX,2023-01-09 07:00:00,kWh,170.2861846828166,baseline,hvac_dr_ee
CAMX,2023-01-09 08:00:00,kWh,173.12136676401445,baseline,hvac_dr_ee
CAMX,2023-01-09 09:00:00,kWh,160.71426547184075,baseline,hvac_dr_ee
CAMX,2023-01-09 10:00:00,kWh,158.93013197084122,baseline,hvac_dr_ee
CAMX,2023-01-09 11:00:00,kWh,162.57897218896346,baseline,hvac_dr_ee
CAMX,2023-01-09 12:00:00,kWh,167.10508201105154,baseline,hvac_dr_ee
CAMX,2023-01-09 13:00:00,kWh,164.22186353225766,baseline,hvac_dr_ee
CAMX,2023-01-09 14:00:00,kWh,156.97795884570496,baseline,hvac_dr_ee
CAMX,2023-01-09 15:00:00,kWh,153.28676836856556,baseline,hvac_dr_ee
CAMX,2023-01-09 16:00:00,kWh,154.18624881273664,baseline,hvac_dr_ee
CAMX,2023-01-09 17:00:00,kWh,145.64289686440162,baseline,hvac_dr_ee
CAMX,2023-01-09 18:00:00,kWh,126.65484985030193,baseline,hvac_dr_ee
CAMX,2023-01-09 19:00:00,kWh,126.37371200524167,baseline,hvac_dr_ee
CAMX,2023-01-09 20:00:00,kWh,125.21307314672339,baseline,hvac_dr_ee
CAMX,2023-01-09 21:00:00,kWh,125.91415230697001,baseline,hvac_dr_ee
CAMX,2023-01-09 22:00:00,kWh,79.68120183879786,baseline,hvac_dr_ee
CAMX,2023-01-09 23:00:00,kWh,81.7083168625259,baseline,hvac_dr_ee
CAMX,2023-01-10 00:00:00,kWh,79.8675783947364,baseline,hvac_dr_ee
CAMX,2023-01-10 01:00:00,kWh,76.53116688147972,baseline,hvac_dr_ee
CAMX,2023-01-10 02:00:00,kWh,73.3698622592235,baseline,hvac_dr_ee
CAMX,2023-01-10 03:00:00,kWh,74.05744656464017,baseline,hvac_dr_ee
CAMX,2023-01-10 04:00:00,kWh,85.32734482361883,baseline,hvac_dr_ee
CAMX,2023-01-10 05:00:00,kWh,144.49448035622262,baseline,hvac_dr_ee
CAMX,2023-01-10 06:00:00,kWh,153.2970538568051,baseline,hvac_dr_ee
CAMX,2023-01-10 07:00:00,kWh,164.68218642181247,baseline,hvac_dr_ee
CAMX,2023-01-10 08:00:00,kWh,167.8056874936715,baseline,hvac_dr_ee
CAMX,2023-01-10 09:00:00,kWh,157.4183049266649,baseline,hvac_dr_ee
CAMX,2023-01-10 10:00:00,kWh,157.25400321787163,baseline,hvac_dr_ee
CAMX,2023-01-10 11:00:00,kWh,160.67753485445607,baseline,hvac_dr_ee
CAMX,2023-01-10 12:00:00,kWh,167.3119496446232,baseline,hvac_dr_ee
CAMX,2023-01-10 13:00:00,kWh,169.11751679382417,baseline,hvac_dr_ee
CAMX,2023-01-10 14:00:00,kWh,166.83518754033008,baseline,hvac_dr_ee
CAMX,2023-01-10 15:00:00,kWh,164.88128380595725,baseline,hvac_dr_ee
CAMX,2023-01-10 16:00:00,kWh,163.20672796438384,baseline,hvac_dr_ee
CAMX,2023-01-10 17:00:00,kWh,144.0868441989736,baseline,hvac_dr_ee
CAMX,2023-01-10 18:00:00,kWh,121.71264232671668,baseline,hvac_dr_ee
CAMX,2023-01-10 19:00:00,kWh,120.77380149269808,baseline,hvac_dr_ee
CAMX,2023-01-10 20:00:00,kWh,119.32402714277418,baseline,hvac_dr_ee
CAMX,2023-01-10 21:00:00,kWh,119.68901467799313,baseline,hvac_dr_ee
CAMX,2023-01-10 22:00:00,kWh,85.52532410776732,baseline,hvac_dr_ee
CAMX,2023-01-10 23:00:00,kWh,86.94463409021331,baseline,hvac_dr_ee
CAMX,2023-01-11 00:00:00,kWh,79.37689269547154,baseline,hvac_dr_ee
CAMX,2023-01-11 01:00:00,kWh,82.15324093151872,baseline,hvac_dr_ee
CAMX,2023-01-11 02:00:00,kWh,79.11743238687168,baseline,hvac_dr_ee
CAMX,2023-01-11 03:00:00,kWh,76.24149251788401,baseline,hvac_dr_ee
CAMX,2023-01-11 04:00:00,kWh,86.34219773825187,baseline,hvac_dr_ee
CAMX,2023-01-11 05:00:00,kWh,134.71656242296848,baseline,hvac_dr_ee
CAMX,2023-01-11 06:00:00,kWh,145.02428820810957,baseline,hvac_dr_ee
CAMX,2023-01-11 07:00:00,kWh,156.77735709754677,baseline,hvac_dr_ee
CAMX,2023-01-11 08:00:00,kWh,163.0217035876405,baseline,hvac_dr_ee
CAMX,2023-01-11 09:00:00,kWh,153.9024244589583,baseline,hvac_dr_ee
CAMX,2023-01-11 10:00:00,kWh,156.1509971041242,baseline,hvac_dr_ee
CAMX,2023-01-11 11:00:00,kWh,165.1848259105209,baseline,hvac_dr_ee
CAMX,2023-01-11 12:00:00,kWh,171.09035398598184,baseline,hvac_dr_ee
CAMX,2023-01-11 13:00:00,kWh,174.77249009632988,baseline,hvac_dr_ee
CAMX,2023-01-11 14:00:00,kWh,169.82605003440767,baseline,hvac_dr_ee
CAMX,2023-01-11 15:00:00,kWh,167.98467863713697,baseline,hvac_dr_ee
CAMX,2023-01-11 16:00:00,kWh,166.84996961028213,baseline,hvac_dr_ee
CAMX,2023-01-11 17:00:00,kWh,145.83323690632056,baseline,hvac_dr_ee
CAMX,2023-01-11 18:00:00,kWh,122.51997087350651,baseline,hvac_dr_ee
CAMX,2023-01-11 19:00:00,kWh,118.31447519527475,baseline,hvac_dr_ee
CAMX,2023-01-11 20:00:00,kWh,115.69432144715711,baseline,hvac_dr_ee
CAMX,2023-01-11 21:00:00,kWh,116.11720380825226,baseline,hvac_dr_ee
CAMX,2023-01-11 22:00:00,kWh,87.19328296930718,baseline,hvac_dr_ee
CAMX,2023-01-11 23:00:00,kWh,89.10057551354836,baseline,hvac_dr_ee
CAMX,2023-01-12 00:00:00,kWh,79.56743314295005,baseline,hvac_dr_ee
CAMX,2023-01-12 01:00:00,kWh,86.67029900715598,baseline,hvac_dr_ee
CAMX,2023-01-12 02:00:00,kWh,86.38582809974491,baseline,hvac_dr_ee
CAMX,2023-01-12 03:00:00,kWh,79.74267201671907,baseline,hvac_dr_ee
CAMX,2023-01-12 04:00:00,kWh,87.2929720726829,baseline,hvac_dr_ee
CAMX,2023-01-12 05:00:00,kWh,135.07404096741107,baseline,hvac_dr_ee
CAMX,2023-01-12 06:00:00,kWh,143.1343712240905,baseline,hvac_dr_ee
CAMX,2023-01-12 07:00:00,kWh,158.52678606640188,baseline,hvac_dr_ee
CAMX,2023-01-12 08:00:00,kWh,169.0497924777187,baseline,hvac_dr_ee
CAMX,2023-01-12 09:00:00,kWh,157.9837850408324,baseline,hvac_dr_ee
CAMX,2023-01-12 10:00:00,kWh,155.60573005630255,baseline,hvac_dr_ee
CAMX,2023-01-12 11:00:00,kWh,158.41049460746262,baseline,hvac_dr_ee
CAMX,2023-01-12 12:00:00,kWh,163.09166792258856,baseline,hvac_dr_ee
CAMX,2023-01-12 13:00:00,kWh,163.08415138324398,baseline,hvac_dr_ee
CAMX,2023-01-12 14:00:00,kWh,158.63801165313748,baseline,hvac_dr_ee
CAMX,2023-01-12 15:00:00,kWh,156.2685960272528,baseline,hvac_dr_ee
CAMX,2023-01-12 16:00:00,kWh,155.17017545478194,baseline,hvac_dr_ee
CAMX,2023-01-12 17:00:00,kWh,144.33123766528607,baseline,hvac_dr_ee
CAMX,2023-01-12 18:00:00,kWh,124.57224649082782,baseline,hvac_dr_ee
CAMX,2023-01-12 19:00:00,kWh,123.21392123981187,baseline,hvac_dr_ee
CAMX,2023-01-12 20:00:00,kWh,121.79572399885751,baseline,hvac_dr_ee
CAMX,2023-01-12 21:00:00,kWh,122.07108259437351,baseline,hvac_dr_ee
CAMX,2023-01-12 22:00:00,kWh,87.26584554189017,baseline,hvac_dr_ee
CAMX,2023-01-12 23:00:00,kWh,89.49926884430545,baseline,hvac_dr_ee
CAMX,2023-01-13 00:00:00,kWh,79.84406795192211,baseline,hvac_dr_ee
CAMX,2023-01-13 01:00:00,kWh,86.84628833820554,baseline,hvac_dr_ee
CAMX,2023-01-13 02:00:00,kWh,86.42679632534004,baseline,hvac_dr_ee
CAMX,2023-01-13 03:00:00,kWh,77.40040807324498,baseline,hvac_dr_ee
CAMX,2023-01-13 04:00:00,kWh,87.58528715149096,baseline,hvac_dr_ee
CAMX,2023-01-13 05:00:00,kWh,142.50832525755985,baseline,hvac_dr_ee
CAMX,2023-01-13 06:00:00,kWh,148.13639095740888,baseline,hvac_dr_ee
CAMX,2023-01-13 07:00:00,kWh,162.1875022488842,baseline,hvac_dr_ee
CAMX,2023-01-13 08:00:00,kWh,176.93361939862194,baseline,hvac_dr_ee
CAMX,2023-01-13 09:00:00,kWh,169.73014859077117,baseline,hvac_dr_ee
CAMX,2023-01-13 10:00:00,kWh,169.93078868714653,baseline,hvac_dr_ee
CAMX,2023-01-13 11:00:00,kWh,168.98384672336886,baseline,hvac_dr_ee
CAMX,2023-01-13 12:00:00,kWh,169.94143638097006,baseline,hvac_dr_ee
CAMX,2023-01-13 13:00:00,kWh,168.34876527570196,baseline,hvac_dr_ee
CAMX,2023-01-13 14:00:00,kWh,164.5429832216012,baseline,hvac_dr_ee
CAMX,2023-01-13 15:00:00,kWh,162.57944946802849,baseline,hvac_dr_ee
CAMX,2023-01-13 16:00:00,kWh,161.85474953209746,baseline,hvac_dr_ee
CAMX,2023-01-13 17:00:00,kWh,152.16726619951177,baseline,hvac_dr_ee
CAMX,2023-01-13 18:00:00,kWh,131.3498810513409,baseline,hvac_dr_ee
CAMX,2023-01-13 19:00:00,kWh,130.06654310228438,baseline,hvac_dr_ee
CAMX,2023-01-13 20:00:00,kWh,127.32238556422072,baseline,hvac_dr_ee
CAMX,2023-01-13 21:00:00,kWh,126.84409315579664,baseline,hvac_dr_ee
CAMX,2023-01-13 22:00:00,kWh,81.42675840730827,baseline,hvac_dr_ee
CAMX,2023-01-13 23:00:00,kWh,87.41406284204501,baseline,hvac_dr_ee
CAMX,2023-01-14 00:00:00,kWh,73.49696772450798,baseline,hvac_dr_ee
CAMX,2023-01-14 01:00:00,kWh,76.36263783653223,baseline,hvac_dr_ee
CAMX,2023-01-14 02:00:00,kWh,77.44686639223264,baseline,hvac_dr_ee
CAMX,2023-01-14 03:00:00,kWh,73.6119906456958,baseline,hvac_dr_ee
CAMX,2023-01-14 04:00:00,kWh,87.93229352514356,baseline,hvac_dr_ee
