controller,seed,day,step,p,soc,grid_import,grid_export,grid_violation,qp_execution_path,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step,mpc_status,mpc_fallback,runtime_ms,raw_battery_kw,raw_ev_fraction,executed_ev_fraction,action_correction,mpc_mip_gap,mpc_seconds,mpc_constraint_violation_max,mpc_message
MPC-H24+QP,0,300,0,-1.2359271279285704e-08,125.00000000293532,127.70998767141593,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,45.0,0.0,1.0,97.70998765905667,30.0,125.0,125.0,96,-100.0,100.0,-421.0526315789474,380.0,-200.0,3.7999999999999996e-08,0,0,0.0,0,0,0,31.130199997278396,0.0,0.0,0.0,1.2359271279285704e-10,0.0,0.027387900001485832,8.526512829121202e-14,Optimization terminated successfully. (HiGHS Status 7: Optimal)
MPC-H24+QP,0,300,1,44.999999976479344,113.15789474596707,85.75670272854795,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.00000001235927,44.99999998764073,0.0,1.0,100.75670270104425,30.0,125.00000000293532,125.0,95,-100.0,100.0,-421.05263156658816,380.0000000111542,-200.0,3.7999999999999996e-08,0,0,0.0,0,0,0,37.56959999736864,44.99999998764073,0.0,6.638417593407553e-11,1.7345051786192643e-10,0.0,0.034222999995108694,4.263256414560601e-14,Optimization terminated successfully. (HiGHS Status 7: Optimal)
MPC-H24+QP,0,300,2,44.99999998153251,101.31578948766904,76.36008813885614,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-2.3520655645370425e-08,89.99999997647934,0.0,1.0,91.36008812038865,30.0,113.15789474596707,125.0,94,-100.0,100.0,-470.91412738540186,335.0000000346748,-200.0,3.7999999999999996e-08,0,0,0.0,0,0,0,24.517400001059286,44.99999999999997,0.0,0.0,1.84674608938451e-10,0.0,0.021811099999467842,2.842170943040401e-14,Optimization terminated successfully. (HiGHS Status 7: Optimal)
MPC-H24+QP,0,300,3,44.99999998153256,89.47368422937099,82.7557712508382,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-1.846748887146532e-08,89.99999998153251,0.0,1.0,97.75577123237075,30.0,101.31578948766904,125.0,93,-100.0,100.0,-520.7756232098146,290.00000005314234,-200.0,3.7999999999999996e-08,0,0,0.0,0,0,0,25.12340000248514,45.00000000000003,0.0,0.0,1.8467466444960223e-10,0.0,0.021762299998954404,2.842170943040401e-14,Optimization terminated successfully. (HiGHS Status 7: Optimal)
MPC-H24+QP,0,300,4,5.282800327914891e-10,89.47368422923196,128.2082962436282,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-1.8467439133473817e-08,89.99999998153257,0.0,1.0,98.20829624415647,30.0,89.47368422937099,125.0,92,-100.0,100.0,-570.6371190342275,245.00000007160975,-200.0,3.7999999999999996e-08,0,0,0.0,0,0,0,30.07449999859091,-1.846740360633703e-08,0.0,0.0,1.899568363912852e-10,0.0,0.02735180000308901,1.846740360633703e-08,Optimization terminated successfully. (HiGHS Status 7: Optimal)
MPC-H24+QP,0,300,5,-1.2359271279285704e-08,89.47368423216729,129.26691923442266,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-44.99999999947172,45.00000000052828,0.0,1.0,99.2669192220634,30.0,89.47368422923196,125.0,91,-100.0,100.0,-570.6371190348128,245.00000007108144,-200.0,3.7999999999999996e-08,0,0,0.0,0,0,0,31.415199999173637,0.0,0.0,0.0,1.2359271279285704e-10,0.0,0.02865130000282079,7.105427357601002e-15,Optimization terminated successfully. (HiGHS Status 7: Optimal)
MPC-H24+QP,0,300,6,-1.2359271279285704e-08,89.47368423510261,126.09232312794322,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.00000001235927,44.99999998764073,0.0,1.0,96.09232311558395,30.0,89.47368423216729,125.0,90,-100.0,100.0,-570.6371190224536,245.0000000822357,-200.0,3.7999999999999996e-08,0,0,0.0,0,0,0,30.76599999621976,0.0,0.0,0.0,1.2359271279285704e-10,0.0,0.028041099998517893,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
MPC-H24+QP,0,300,7,-1.2359271279285704e-08,89.47368423803793,125.31130596774078,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.00000001235927,44.99999998764073,0.0,1.0,95.31130595538151,30.0,89.47368423510261,125.0,89,-100.0,100.0,-570.6371190100944,245.0000000933899,-200.0,3.7999999999999996e-08,0,0,0.0,0,0,0,18.11910000105854,0.0,0.0,0.0,1.2359271279285704e-10,0.0009752854369057348,0.015242600005876739,1.4210854715202004e-14,Optimization terminated successfully. (HiGHS Status 7: Optimal)
MPC-H24+QP,0,300,8,-1.2359271279285704e-08,89.47368424097326,117.43268487748517,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.00000001235927,44.99999998764073,0.0,1.0,87.4326848651259,30.0,89.47368423803793,125.0,88,-100.0,100.0,-570.637118997735,245.00000010454414,-200.0,3.7999999999999996e-08,0,0,0.0,0,0,0,15.231900004437193,0.0,0.0,0.0,1.2359271279285704e-10,2.4750017623366547e-05,0.01251619999675313,3.552713678800501e-15,Optimization terminated successfully. (HiGHS Status 7: Optimal)
MPC-H24+QP,0,300,9,44.999999976479344,77.631578984005,77.03176282993812,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.00000001235927,44.99999998764073,0.0,1.0,92.03176280243441,30.0,89.47368424097326,125.0,87,-100.0,100.0,-570.6371189853758,245.00000011569836,-200.0,3.7999999999999996e-08,0,0,0.0,0,0,0,48.02460000064457,44.99999998764073,0.0,6.638417593407553e-11,1.7345051786192643e-10,1.429741798901584e-16,0.04439999999885913,3.268496584496461e-13,Optimization terminated successfully. (HiGHS Status 7: Optimal)
